violence,n,mean_age,median_income,pct_no_education,pct_primary_edu,pct_unemployed,pct_zero_income,pct_married
yes,86,34.2,0,12.8,53.5,87.2,87.2,96.5
no,261,30.5,0,15.7,33,76.2,75.5,83.1
